Rank;Title;Score;Source;Category;URL;Additional_Info
1;Sousou no Frieren;9.30;myanimelist;slice_of_life;https://myanimelist.net/anime/52991/Sousou_no_Frieren;"TV (28 eps)
        Sep 2023 - Mar 2024
        1,154,793 members"
2;Fullmetal Alchemist: Brotherhood;9.10;myanimelist;slice_of_life;https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood;"TV (64 eps)
        Apr 2009 - Jul 2010
        3,539,165 members"
3;"Steins;Gate";9.07;myanimelist;slice_of_life;https://myanimelist.net/anime/9253/Steins_Gate;"TV (24 eps)
        Apr 2011 - Sep 2011
        2,710,537 members"
4;Shingeki no Kyojin Season 3 Part 2;9.05;myanimelist;slice_of_life;https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2;"TV (10 eps)
        Apr 2019 - Jul 2019
        2,461,097 members"
5;Gintama°;9.05;myanimelist;slice_of_life;https://myanimelist.net/anime/28977/Gintama°;"TV (51 eps)
        Apr 2015 - Mar 2016
        670,442 members"
6;Gintama: The Final;9.04;myanimelist;slice_of_life;https://myanimelist.net/anime/39486/Gintama__The_Final;"Movie (1 eps)
        Jan 2021 - Jan 2021
        171,208 members"
7;One Piece Fan Letter;9.04;myanimelist;slice_of_life;https://myanimelist.net/anime/60022/One_Piece_Fan_Letter;"TV Special (1 eps)
        Oct 2024 - Oct 2024
        116,022 members"
8;Hunter x Hunter (2011);9.03;myanimelist;slice_of_life;https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011;"TV (148 eps)
        Oct 2011 - Sep 2014
        3,041,219 members"
9;Gintama';9.02;myanimelist;slice_of_life;https://myanimelist.net/anime/9969/Gintama;"TV (51 eps)
        Apr 2011 - Mar 2012
        592,421 members"
10;Gintama': Enchousen;9.02;myanimelist;slice_of_life;https://myanimelist.net/anime/15417/Gintama__Enchousen;"TV (13 eps)
        Oct 2012 - Mar 2013
        346,950 members"
11;Ginga Eiyuu Densetsu;9.01;myanimelist;slice_of_life;https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu;"OVA (110 eps)
        Jan 1988 - Mar 1997
        346,374 members"
12;Bleach: Sennen Kessen-hen;8.99;myanimelist;slice_of_life;https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen;"TV (13 eps)
        Oct 2022 - Dec 2022
        643,927 members"
13;Gintama.;8.98;myanimelist;slice_of_life;https://myanimelist.net/anime/34096/Gintama;"TV (12 eps)
        Jan 2017 - Mar 2017
        336,685 members"
14;Kaguya-sama wa Kokurasetai: Ultra Romantic;8.98;myanimelist;slice_of_life;https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic;"TV (13 eps)
        Apr 2022 - Jun 2022
        1,039,649 members"
15;Fruits Basket: The Final;8.95;myanimelist;slice_of_life;https://myanimelist.net/anime/42938/Fruits_Basket__The_Final;"TV (13 eps)
        Apr 2021 - Jun 2021
        532,050 members"
16;Clannad: After Story;8.93;myanimelist;slice_of_life;https://myanimelist.net/anime/4181/Clannad__After_Story;"TV (24 eps)
        Oct 2008 - Mar 2009
        1,248,614 members"
17;Gintama;8.93;myanimelist;slice_of_life;https://myanimelist.net/anime/918/Gintama;"TV (201 eps)
        Apr 2006 - Mar 2010
        1,120,367 members"
18;Koe no Katachi;8.93;myanimelist;slice_of_life;https://myanimelist.net/anime/28851/Koe_no_Katachi;"Movie (1 eps)
        Sep 2016 - Sep 2016
        2,494,153 members"
19;Code Geass: Hangyaku no Lelouch R2;8.91;myanimelist;slice_of_life;https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2;"TV (25 eps)
        Apr 2008 - Sep 2008
        1,881,750 members"
20;3-gatsu no Lion 2nd Season;8.90;myanimelist;slice_of_life;https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season;"TV (22 eps)
        Oct 2017 - Mar 2018
        425,787 members"
1;The Apothecary Diaries;4.6;animeplanet;slice_of_life;https://www.anime-planet.com/anime/the-apothecary-diaries;TV (24 eps) | 2023 - 2024
2;The Apothecary Diaries 2nd Season;4.6;animeplanet;slice_of_life;https://www.anime-planet.com/anime/the-apothecary-diaries-2nd-season;TV (23+ eps) | 2025 - ?
3;Natsume's Book of Friends Season 5;4.4;animeplanet;slice_of_life;https://www.anime-planet.com/anime/natsumes-book-of-friends-season-5;TV (11 eps) | 2016
4;Natsume's Book of Friends Season 4;4.4;animeplanet;slice_of_life;https://www.anime-planet.com/anime/natsumes-book-of-friends-season-4;TV (13 eps) | 2012
5;Wolf Children;4.4;animeplanet;slice_of_life;https://www.anime-planet.com/anime/wolf-children;Movie (1 ep) | 2012
6;Natsume's Book of Friends Season 3;4.4;animeplanet;slice_of_life;https://www.anime-planet.com/anime/natsumes-book-of-friends-season-3;TV (13 eps) | 2011
7;The Disastrous Life of Saiki K. 2nd Season;4.3;animeplanet;slice_of_life;https://www.anime-planet.com/anime/the-disastrous-life-of-saiki-k-2nd-season;TV (24 eps) | 2018
8;Oshi no Ko;4.3;animeplanet;slice_of_life;https://www.anime-planet.com/anime/oshi-no-ko;TV (11 eps) | 2023
9;Oshi no Ko 2nd Season;4.3;animeplanet;slice_of_life;https://www.anime-planet.com/anime/oshi-no-ko-2nd-season;TV (13 eps) | 2024
10;March Comes in like a Lion 2nd Season;4.3;animeplanet;slice_of_life;https://www.anime-planet.com/anime/march-comes-in-like-a-lion-2nd-season;TV (22 eps) | 2017 - 2018
11;Bocchi the Rock!;4.3;animeplanet;slice_of_life;https://www.anime-planet.com/anime/bocchi-the-rock;TV (12 eps) | 2022
12;Natsume's Book of Friends Season 2;4.3;animeplanet;slice_of_life;https://www.anime-planet.com/anime/natsumes-book-of-friends-season-2;TV (13 eps) | 2009
13;The Disastrous Life of Saiki K.;4.3;animeplanet;slice_of_life;https://www.anime-planet.com/anime/the-disastrous-life-of-saiki-k;TV (120 eps) | 2016
14;Bunny Drop;4.3;animeplanet;slice_of_life;https://www.anime-planet.com/anime/bunny-drop;TV (11 eps) | 2011
15;Laid-Back Camp 2nd Season;4.3;animeplanet;slice_of_life;https://www.anime-planet.com/anime/laid-back-camp-2nd-season;TV (13 eps) | 2021
16;Josee, the Tiger and the Fish;4.3;animeplanet;slice_of_life;https://www.anime-planet.com/anime/josee-the-tiger-and-the-fish;Movie (1 ep) | 2020
17;Barakamon;4.3;animeplanet;slice_of_life;https://www.anime-planet.com/anime/barakamon;TV (12 eps) | 2014
18;Natsume's Book of Friends Season 5 Specials;4.3;animeplanet;slice_of_life;https://www.anime-planet.com/anime/natsumes-book-of-friends-season-5-specials;DVD Special (2 eps) | 2017
19;School Babysitters;4.3;animeplanet;slice_of_life;https://www.anime-planet.com/anime/school-babysitters;TV (12 eps) | 2018
20;A Sign of Affection;4.2;animeplanet;slice_of_life;https://www.anime-planet.com/anime/a-sign-of-affection;TV (12 eps) | 2024
