Rank;Title;Score;Source;Category;URL;Additional_Info
1;Sousou no Frieren;9.30;myanimelist;comedy;https://myanimelist.net/anime/52991/Sousou_no_Frieren;"TV (28 eps)
        Sep 2023 - Mar 2024
        1,154,793 members"
2;Fullmetal Alchemist: Brotherhood;9.10;myanimelist;comedy;https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood;"TV (64 eps)
        Apr 2009 - Jul 2010
        3,539,165 members"
3;"Steins;Gate";9.07;myanimelist;comedy;https://myanimelist.net/anime/9253/Steins_Gate;"TV (24 eps)
        Apr 2011 - Sep 2011
        2,710,537 members"
4;Shingeki no Kyojin Season 3 Part 2;9.05;myanimelist;comedy;https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2;"TV (10 eps)
        Apr 2019 - Jul 2019
        2,461,097 members"
5;Gintama°;9.05;myanimelist;comedy;https://myanimelist.net/anime/28977/Gintama°;"TV (51 eps)
        Apr 2015 - Mar 2016
        670,442 members"
6;Gintama: The Final;9.04;myanimelist;comedy;https://myanimelist.net/anime/39486/Gintama__The_Final;"Movie (1 eps)
        Jan 2021 - Jan 2021
        171,208 members"
7;One Piece Fan Letter;9.04;myanimelist;comedy;https://myanimelist.net/anime/60022/One_Piece_Fan_Letter;"TV Special (1 eps)
        Oct 2024 - Oct 2024
        116,022 members"
8;Hunter x Hunter (2011);9.03;myanimelist;comedy;https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011;"TV (148 eps)
        Oct 2011 - Sep 2014
        3,041,219 members"
9;Gintama';9.02;myanimelist;comedy;https://myanimelist.net/anime/9969/Gintama;"TV (51 eps)
        Apr 2011 - Mar 2012
        592,421 members"
10;Gintama': Enchousen;9.02;myanimelist;comedy;https://myanimelist.net/anime/15417/Gintama__Enchousen;"TV (13 eps)
        Oct 2012 - Mar 2013
        346,950 members"
11;Ginga Eiyuu Densetsu;9.01;myanimelist;comedy;https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu;"OVA (110 eps)
        Jan 1988 - Mar 1997
        346,374 members"
12;Bleach: Sennen Kessen-hen;8.99;myanimelist;comedy;https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen;"TV (13 eps)
        Oct 2022 - Dec 2022
        643,927 members"
13;Gintama.;8.98;myanimelist;comedy;https://myanimelist.net/anime/34096/Gintama;"TV (12 eps)
        Jan 2017 - Mar 2017
        336,685 members"
14;Kaguya-sama wa Kokurasetai: Ultra Romantic;8.98;myanimelist;comedy;https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic;"TV (13 eps)
        Apr 2022 - Jun 2022
        1,039,649 members"
15;Fruits Basket: The Final;8.95;myanimelist;comedy;https://myanimelist.net/anime/42938/Fruits_Basket__The_Final;"TV (13 eps)
        Apr 2021 - Jun 2021
        532,050 members"
16;Clannad: After Story;8.93;myanimelist;comedy;https://myanimelist.net/anime/4181/Clannad__After_Story;"TV (24 eps)
        Oct 2008 - Mar 2009
        1,248,614 members"
17;Gintama;8.93;myanimelist;comedy;https://myanimelist.net/anime/918/Gintama;"TV (201 eps)
        Apr 2006 - Mar 2010
        1,120,367 members"
18;Koe no Katachi;8.93;myanimelist;comedy;https://myanimelist.net/anime/28851/Koe_no_Katachi;"Movie (1 eps)
        Sep 2016 - Sep 2016
        2,494,153 members"
19;Code Geass: Hangyaku no Lelouch R2;8.91;myanimelist;comedy;https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2;"TV (25 eps)
        Apr 2008 - Sep 2008
        1,881,750 members"
20;3-gatsu no Lion 2nd Season;8.90;myanimelist;comedy;https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season;"TV (22 eps)
        Oct 2017 - Mar 2018
        425,787 members"
1;Sousou no Frieren;9.72;anidb;comedy;https://anidb.net/anime/17617;Type: TV Series | Episodes: 28
2;Gintama (2015);9.64;anidb;comedy;https://anidb.net/anime/10993;Type: TV Series | Episodes: 51
3;Hagane no Renkinjutsushi (2009);9.54;anidb;comedy;https://anidb.net/anime/6107;Type: TV Series | Episodes: 64
4;Kusuriya no Hitorigoto;9.49;anidb;comedy;https://anidb.net/anime/17870;Type: TV Series | Episodes: 24
5;"Steins;Gate";9.47;anidb;comedy;https://anidb.net/anime/7729;Type: TV Series | Episodes: 24
6;Gintama`;9.46;anidb;comedy;https://anidb.net/anime/8126;Type: TV Series | Episodes: 51
7;Sangatsu no Lion (2017);9.45;anidb;comedy;https://anidb.net/anime/12994;Type: TV Series | Episodes: 22
8;Gintama` (2012);9.42;anidb;comedy;https://anidb.net/anime/9427;Type: TV Series | Episodes: 13
9;Suzumiya Haruhi no Shoushitsu;9.39;anidb;comedy;https://anidb.net/anime/7221;Type: Movie | Episodes: 1
10;Gintama: The Final;9.38;anidb;comedy;https://anidb.net/anime/14719;Type: Movie | Episodes: 1
11;Gekijouban Gintama Kanketsuhen: Yorozuya yo Eien Nare;9.37;anidb;comedy;https://anidb.net/anime/9384;Type: Movie | Episodes: 1
12;Owarimonogatari (2017);9.27;anidb;comedy;https://anidb.net/anime/13033;Type: TV Special | Episodes: 2
13;Aria the Origination;9.24;anidb;comedy;https://anidb.net/anime/5424;Type: TV Series | Episodes: 13
14;Clannad: After Story;9.24;anidb;comedy;https://anidb.net/anime/5841;Type: TV Series | Episodes: 22
15;Hunter x Hunter (2011);9.20;anidb;comedy;https://anidb.net/anime/8550;Type: TV Series | Episodes: 148
16;Usagi Drop;9.15;anidb;comedy;https://anidb.net/anime/8211;Type: TV Series | Episodes: 11
17;Shingeki no Kyojin Season 3 (2019);9.14;anidb;comedy;https://anidb.net/anime/14444;Type: TV Series | Episodes: 10
18;Cross Game;9.12;anidb;comedy;https://anidb.net/anime/6424;Type: TV Series | Episodes: 50
19;Shouwa Genroku Rakugo Shinjuu (2016);9.09;anidb;comedy;https://anidb.net/anime/10960;Type: TV Series | Episodes: 13
20;Kimi no Na wa.;9.06;anidb;comedy;https://anidb.net/anime/11829;Type: Movie | Episodes: 1
1;One Piece: Fan Letter;4.5;animeplanet;comedy;https://www.anime-planet.com/anime/one-piece-fan-letter;TV Special (1 ep) | 2024
2;Kaguya-sama: Love is War - Ultra Romantic;4.5;animeplanet;comedy;https://www.anime-planet.com/anime/kaguya-sama-love-is-war-ultra-romantic;TV (13 eps) | 2022
3;Gintama: The Very Final;4.5;animeplanet;comedy;https://www.anime-planet.com/anime/gintama-the-very-final;Movie (1 ep) | 2021
4;Demon Slayer: Kimetsu no Yaiba;4.5;animeplanet;comedy;https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba;TV (26 eps) | 2019
5;Gintama': Enchousen;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/gintama-enchousen;TV (13 eps) | 2012 - 2013
6;Gintama Kanketsu-hen: Yorozuya yo Eien Nare;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/gintama-kanketsu-hen-yorozuya-yo-eien-nare;Movie (1 ep) | 2013
7;Mob Psycho 100 II;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/mob-psycho-100-ii;TV (13 eps) | 2019
8;Gintama°;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/gintama-2015;TV (51 eps) | 2015 - 2016
9;Gintama: Shirogane no Tamashii-hen 2;4.4;animeplanet;comedy;https://www.anime-planet.com/anime/gintama-shirogane-no-tamashii-hen-2;TV (14 eps) | 2018
